title,link,create_time,underlined_count,audio_count
每日积累“背三句”-写作口语同步提高-提升公共健康,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100629&idx=1&sn=b81e0c64908a84b99b090772c2662ace&chksm=849182d5b3e60bc313842fad9cc622937984e19b950742c4279910ce2200a032c78f098de73b#rd,2025-04-20 22:22,0,0
每日积累“背三句”-你在租房吗？,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100478&idx=1&sn=d7929027f18f31dd9e9a1036384615a6&chksm=8491823eb3e60b2877875671ea271cb1f8f1516ad7028ce72b8494314d8dddebcbe15dcc0f68#rd,2025-04-08 21:53,0,0
每日积累“背三句”-你经常购物吗？,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100501&idx=1&sn=fd905ce8e41d23b22f7658c489d3989a&chksm=84918255b3e60b43937152c742690a1d01dd1ea8134c59d14659d082482a034b4d91298334f8#rd,2025-04-10 21:47,0,0
每日积累“背三句”-谈论你的专业,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100651&idx=1&sn=c9aeb65a2abc3f09225b619443f0eda1&chksm=849182ebb3e60bfda82b1ae527bf96b8fd5a77c6c431e4e864cf38f74dd68c1c9c0276a6e76d#rd,2025-04-22 21:45,0,0
每日积累“背三句”-口语考试重点-适合居住的城市,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651101041&idx=1&sn=fff4e536ba4be7192e54e7223ee22b53&chksm=84918071b3e60967865c8ab34a9431a8d63b584f9a4c6ab0d91a441b8bf89c0f01c87a1b7278#rd,2025-06-02 21:34,0,0
每日积累“背三句”-雅思口语难题-science,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100912&idx=1&sn=b84caab7e404c846c7c6dcc069471c57&chksm=849181f0b3e608e634b5e983b1830c951e5286a4e3ce424bec0e1499449e3fa6d5d2aefe2030#rd,2025-05-20 21:48,0,0
每日积累“背三句”-怎么能够存下钱呢？,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100934&idx=1&sn=7a3afcd8a2fc08b0502b7dd27a0a84e2&chksm=84918006b3e60910074d5398bdb5b64787e14b8f3466865fbad7d67feb1048f0866ed36ed4e4#rd,2025-05-22 21:19,0,0
每日积累“背三句”-口语考试重点话题-flowers,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100843&idx=1&sn=b0b4a7848af4ed4068281a0f8e4d6967&chksm=849181abb3e608bdbea9befa615477d568f271e34aa2454c8a3dd9a12dfd4ab98b502151d8c5#rd,2025-05-13 21:56,0,0
每日积累“背三句”-工作时间可以短一点吗......,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100173&idx=1&sn=3c18a652ca33473a258675f2b4260586&chksm=8491830db3e60a1b3d9646e46da552e184f7fe3aa2dc99aef8575fe9f2f886581fe7120bb561#rd,2025-03-11 22:02,0,0
每日积累“背三句”-人工智能的挑战,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100713&idx=1&sn=cc1c2188e6b94efb6ff7c62219080794&chksm=84918129b3e6083fdbd1eed7c20e4bc8449381ca2fd033d929a1e1c66563bb3ea8063ee78833#rd,2025-04-28 21:14,0,0
每日积累“背三句”-回不去的小时候......,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100157&idx=1&sn=210ef105528f83df209e2af60fae871a&chksm=849184fdb3e60deb74c045f2d4178c3da6b80bcb0436fd20e60093edd54fab19ce26b79cd2e5#rd,2025-03-10 20:09,0,0
每日积累“背三句”-健康、长寿,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100312&idx=1&sn=b061fc6be6e54d9aeecf1c2d26ef83a5&chksm=84918398b3e60a8e44dccbbdde9066384ca3192cdeee1f801ac3db538461eda93b8b78e1194a#rd,2025-03-20 21:51,0,0
每日积累“背三句”-为啥减肥不管用呢！,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100296&idx=1&sn=26b673658589953a3781179d8429e2c9&chksm=84918388b3e60a9e35f78f87ca50e1a80c248da3ee6da44d31a4ec4cb5f74809a6afe5b6e2b2#rd,2025-03-19 22:11,0,0
每日积累“背三句”-我好怀念咖啡......,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100133&idx=1&sn=fbe5da64a0e716b3cd8ce1066cd83362&chksm=849184e5b3e60df3cd01252378984a68ba56d05671bf7a5fd46b347f9684d0b6cfa395d552b0#rd,2025-03-09 22:22,0,0
每日积累“背三句”-你每晚都做梦吗？,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100400&idx=1&sn=69e18eace4278e7a33875e8b6589b3b3&chksm=849183f0b3e60ae631c24d10352fdb1e9b3e871c06a356ea094b17877eb9e1e12b15d507a2f1#rd,2025-03-28 06:49,0,0
每日积累“背三句”-你喜欢看这种片子吗？,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100820&idx=1&sn=6f8204a512022b18c943c81ad2977863&chksm=84918194b3e60882771d48c334f2025a12382d997d8f44f2f5c52bfbbee284397fd256c3972c#rd,2025-05-11 21:45,0,0
每日积累“背三句”-周末太重要啦！,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100005&idx=1&sn=9f8fa843c965f814ba64f0b5478bb071&chksm=84918465b3e60d73fcf016f9e6418903e45858eb298c55d23fa958f63dd24a42c9df12367be9#rd,2025-02-26 23:16,0,0
每日积累“背三句”-口语考试重点-做出的积极改变,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651100013&idx=1&sn=43880f5b34b716e52a90bbb1632a28d8&chksm=8491846db3e60d7b454dba502f62c80e8e1544f2cdd22860a2fb910054a1c36fb3e09f6871b1#rd,2025-02-27 21:37,0,0
每日积累“背三句”-如何有效学习外语呢？,http://mp.weixin.qq.com/s?__biz=MzA3NjQwNzQwNw==&mid=2651099984&idx=1&sn=a5d491ebf06d20aec19125cf13783ba4&chksm=84918450b3e60d4654792f39fdb00ddc8a7bbd87d23dc6bf6441384ee671cdc1b93c4958ba78#rd,2025-02-25 21:29,0,0
